f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__criterion
0.5100599978159196,0.6483701366982124,0.21298129523093753,0.8038572626628198,517,1.0,20,38,0.1049952623816579,6.0,entropy
0.5100599978159196,0.6483701366982124,0.21511886159090932,0.7903881638115797,276,21.0,41,19,0.21500080903039698,60.0,entropy
0.5794599750504182,0.6805467928496319,0.19268542116275933,0.8374111212591973,621,9.0,20,13,0.03273774152608416,22.0,entropy
0.5100599978159196,0.6483701366982124,0.22238024723887276,0.7359247521133799,35,15.0,47,13,0.3824281300278435,2.0,gini
0.7579698820197078,0.7808096740273397,0.16051065538259868,0.8634166644680584,69,21.0,56,1,0.0030523916445148735,47.0,gini
0.5100599978159196,0.6483701366982124,0.2115381223999694,0.799889473858806,242,11.0,32,10,0.135879392920206,6.0,gini
0.5838366776320381,0.6675078864353312,0.2199993740871025,0.5839202324213505,1,9.0,8,32,0.059916185872321115,18.0,entropy
0.5100599978159196,0.6483701366982124,0.21847152825967273,0.7828901355267427,379,23.0,50,32,0.24385286029172748,2.0,entropy
0.5406128798312333,0.66198738170347,0.20026725864912315,0.8288742505493935,173,5.0,47,47,0.05434602078629691,,entropy
0.5100599978159196,0.6483701366982124,0.21619265979343943,0.794486523274726,483,19.0,14,32,0.21270675686146862,10.0,entropy
0.5100599978159196,0.6483701366982124,0.21213441045541825,0.7878343489125424,35,30.0,32,25,0.14619495928019188,22.0,entropy
0.5100599978159196,0.6483701366982124,0.2224085062679854,0.760326230713032,69,19.0,56,4,0.3511422005742598,55.0,gini
0.5100599978159196,0.6483701366982124,0.20628576542734028,0.8143588586584557,586,30.0,56,35,0.0906481067710756,31.0,gini
0.5100599978159196,0.6483701366982124,0.220264155144572,0.7747344768230472,345,19.0,20,13,0.3246854912518263,10.0,gini
0.5100599978159196,0.6483701366982124,0.20813375115545318,0.8089893539990876,655,5.0,44,19,0.1067052374567215,31.0,gini
0.5100599978159196,0.6483701366982124,0.22277489319741703,0.7625767649748505,242,11.0,60,41,0.3615320652895583,2.0,entropy
0.5100599978159196,0.6483701366982124,0.22731343419033168,0.7370665148689294,655,23.0,8,32,0.48214896927562756,51.0,entropy
0.5100599978159196,0.6483701366982124,0.21901610858851747,0.7862059258249049,276,1.0,17,47,0.27443024865539706,26.0,entropy
0.5100599978159196,0.6483701366982124,0.2279901058131293,0.4970020520775297,1,21.0,53,7,0.4922145208850528,10.0,entropy
0.5100599978159196,0.6483701366982124,0.2045530771453031,0.8183618817772101,931,,32,28,0.07820036346434633,6.0,gini
0.5100599978159196,0.6483701366982124,0.22200478173906654,0.7561562689629966,138,25.0,32,4,0.3449785551342164,55.0,gini
0.5100599978159196,0.6483701366982124,0.22470570359211609,0.7210293182477764,35,,5,44,0.4400196949396786,39.0,entropy
0.5100599978159196,0.6483701366982124,0.2256224433820218,0.7539833690154529,483,25.0,38,32,0.44465175539570867,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2174721141494657,0.7934212490513652,965,7.0,53,7,0.23856360627390416,55.0,entropy
0.5100599978159196,0.6483701366982124,0.2154564001618787,0.7877792240632765,104,23.0,38,38,0.22016059895522744,18.0,entropy
0.5100599978159196,0.6483701366982124,0.21974157125963859,0.7840875626797362,621,19.0,50,16,0.28795760192200465,39.0,entropy
0.5100599978159196,0.6483701366982124,0.2144486512283512,0.7730498073534136,69,17.0,14,7,0.1894168020735018,10.0,gini
0.5100599978159196,0.6483701366982124,0.22219274243605355,0.7788202448079219,724,,2,16,0.33919154232473125,39.0,entropy
0.5100599978159196,0.6483701366982124,0.22626782857700495,0.7465449880848363,827,15.0,38,1,0.451890224664101,43.0,entropy
0.5100599978159196,0.6483701366982124,0.2091126193397959,0.8130468957331997,862,21.0,26,4,0.10191719231420615,39.0,entropy
0.5100599978159196,0.6483701366982124,0.22364860885013366,0.7610288255008559,414,23.0,32,16,0.3979657086343337,,gini
0.5100599978159196,0.6483701366982124,0.21546787946613374,0.7996019068044857,931,25.0,38,1,0.19776927894945912,26.0,gini
0.5511772404053272,0.6668769716088329,0.1970848751380594,0.8325972724130011,896,23.0,60,53,0.042799884757411644,35.0,entropy
0.5100599978159196,0.6483701366982124,0.21483822415773246,0.7930407099648946,276,25.0,23,16,0.20344237436155754,47.0,gini
0.5100599978159196,0.6483701366982124,0.21312196927097665,0.7994726031742213,758,7.0,11,10,0.16019917133013584,,gini
0.5100599978159196,0.6483701366982124,0.22237141658296308,0.7758493773541276,965,30.0,5,44,0.35935266820036565,6.0,entropy
0.5100599978159196,0.6483701366982124,0.22392470949435692,0.7650466528516467,586,13.0,56,41,0.39807716032520474,43.0,gini
0.5100599978159196,0.6483701366982124,0.21958404717916197,0.7850530386771414,379,25.0,29,35,0.28512875148727695,10.0,entropy
0.5100599978159196,0.6483701366982124,0.21932828066339877,0.7865505273653016,965,3.0,56,50,0.28608192059540766,14.0,gini
0.5100599978159196,0.6483701366982124,0.21227571839031215,0.7901876640711448,35,7.0,23,32,0.11182517007485265,22.0,entropy
0.5896781429235836,0.6854363827549947,0.19266234246748215,0.8403701368400877,827,17.0,2,4,0.029890212062284705,43.0,gini
0.5100599978159196,0.6483701366982124,0.21616077095377956,0.793616674613989,311,30.0,50,53,0.22104549274705226,39.0,entropy
0.5100599978159196,0.6483701366982124,0.21369596282657075,0.7985759044136933,311,5.0,5,35,0.17006932059647695,14.0,entropy
0.5100599978159196,0.6483701366982124,0.21518674468196064,0.7943980737475304,448,23.0,11,4,0.19702699677931373,,gini
0.5100599978159196,0.6483701366982124,0.21320775783005105,0.7964533097558457,311,15.0,56,22,0.18514228579857478,60.0,entropy
0.5100599978159196,0.6483701366982124,0.21886728563467345,0.7877472270376056,1000,9.0,35,16,0.2788163970322151,,entropy
0.5100599978159196,0.6483701366982124,0.2203117877762792,0.7857648906567425,586,27.0,8,41,0.30063558880024077,55.0,entropy
0.5810706617996587,0.6812828601472135,0.19329116185591344,0.8377491815357254,724,13.0,29,38,0.031131472312267705,6.0,entropy
0.5469526003587638,0.664931650893796,0.19785905718398164,0.8318036273545154,827,27.0,2,10,0.04601828238526273,51.0,gini
0.5100599978159196,0.6483701366982124,0.21300332503733405,0.7994607937376912,655,11.0,20,56,0.15673180975813883,51.0,gini
0.5100599978159196,0.6483701366982124,0.22200967114315506,0.7682718536169175,104,30.0,2,19,0.35561561322312,43.0,gini
0.5100599978159196,0.6483701366982124,0.21629143408565393,0.7969454746918198,276,19.0,5,41,0.2087687925379288,,gini
0.5100599978159196,0.6483701366982124,0.21117938250202312,0.8067806498769297,689,9.0,35,13,0.13639903796479552,10.0,entropy
0.5100599978159196,0.6483701366982124,0.2263557556739677,0.7433369619261827,586,27.0,56,38,0.4616765212182753,2.0,entropy
0.5100599978159196,0.6483701366982124,0.22160487374993243,0.7717978979590966,276,27.0,14,50,0.33223168719634577,31.0,gini
0.5100599978159196,0.6483701366982124,0.22349673519457489,0.733407887171043,35,5.0,47,1,0.35842410137263203,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2210446507763638,0.7783855569087773,345,5.0,5,38,0.3113769232313747,18.0,entropy
0.5100599978159196,0.6483701366982124,0.20460594988964959,0.8182477703686833,207,17.0,38,41,0.07285495988434243,47.0,entropy
0.5100599978159196,0.6483701366982124,0.21414293989577338,0.7958784848264988,242,7.0,38,13,0.1780327927869204,51.0,entropy
0.5100599978159196,0.6483701366982124,0.21908267538876405,0.7826272967535349,448,5.0,20,25,0.2859354108940655,55.0,entropy
0.5100599978159196,0.6483701366982124,0.21983518259731796,0.7859626259705563,345,11.0,41,38,0.30036163297481416,51.0,gini
0.5100599978159196,0.6483701366982124,0.22066973950957236,0.7814679047159372,586,1.0,44,1,0.32306681750723937,,gini
0.5100599978159196,0.6483701366982124,0.21782621311868416,0.7884989146473096,793,19.0,8,50,0.2598956437497649,6.0,entropy
0.5100599978159196,0.6483701366982124,0.20411229498169423,0.8256409444367709,1000,27.0,47,7,0.06843111603932411,,gini
0.5100599978159196,0.6483701366982124,0.22503300403825718,0.7565221371888904,758,7.0,38,28,0.428286410402957,39.0,entropy
0.5100599978159196,0.6483701366982124,0.2178295839112496,0.6000725892356914,1,7.0,14,35,0.06534081569800132,2.0,gini
0.5100599978159196,0.6483701366982124,0.20287691770680272,0.8233063740306077,931,9.0,23,25,0.0664557168503051,35.0,gini
0.5100599978159196,0.6483701366982124,0.21193566625594587,0.8019965731779616,586,,32,28,0.15331992706602598,10.0,entropy
0.5100599978159196,0.6483701366982124,0.22542170466849348,0.7511111358185109,517,,56,22,0.4332411781564224,35.0,gini
0.5100599978159196,0.6483701366982124,0.21625877376364433,0.7948827335077217,655,1.0,5,41,0.18371103969711516,55.0,entropy
0.5785136241567437,0.6800736067297581,0.19385014825338145,0.8362157977378649,345,27.0,11,35,0.03283741631683845,26.0,gini
