f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.5144451577781473,0.5576942559011245,0.27752596167222904,0.6637218450131092,linear,0.0009765625,32.0,4
0.4642617483134493,0.5408773173943876,0.2874750210991413,0.6446570905992691,poly,0.0078125,0.0078125,2
0.4711775555219457,0.5280113463681492,0.2508399441296173,0.5627750117603714,linear,4.0,0.5,2
0.4923706705942298,0.5492857866477561,0.2728633710973057,0.6493972809692519,linear,0.0009765625,0.0078125,3
0.4433371097361071,0.5030898591834667,0.26090898863983664,0.565967418014586,linear,4.0,0.0078125,5
0.43880083157316974,0.49123695674197143,0.24897477232124265,0.5294968411478123,poly,0.5,4.0,4
0.4630935674082815,0.49042650187417686,0.24906593875905048,0.5308685486550412,linear,256.0,256.0,3
0.4829258724847283,0.5134231587478473,0.2735987911012863,0.6742989831802018,sigmoid,0.0625,0.0625,3
0.36252184668687065,0.49832843683517375,0.2583011059325193,0.49320567162411555,poly,256.0,0.0625,2
0.4551814718311929,0.5331779961503393,0.26336237428023157,0.6053459111738331,linear,0.5,0.0009765625,4
0.4210415686968512,0.5144362273325904,0.2725643775844933,0.5693951550559728,rbf,4.0,0.0625,2
0.4855042475038153,0.5458413534596293,0.278371532455419,0.6548841109981677,sigmoid,4.0,0.0009765625,5
0.3192070856179966,0.4818154189038598,0.2726454750024942,0.6013182101537237,linear,4.0,0.0625,4
0.4717870851883753,0.5443217505825144,0.29043449003535854,0.6208254382588728,poly,32.0,0.0009765625,2
0.32605508172575304,0.48363894235639754,0.24962780413975738,0.5212978268807548,poly,256.0,0.0009765625,5
0.5381019914148439,0.5382433390740553,0.24721366957969157,0.5541889743640354,rbf,0.5,32.0,4
0.3457047474222283,0.4882990578462162,0.2882905549706735,0.5578289943319945,poly,0.0625,0.0625,3
0.5234531083622384,0.5707628406443116,0.24612152463771703,0.5670658613690718,rbf,32.0,32.0,2
0.5030886847787618,0.5367237361969406,0.25011250379057165,0.5361265860053226,poly,4.0,32.0,3
0.32085873878726784,0.48201803262080845,0.2819429588875413,0.5385338846726998,poly,0.5,0.5,4
0.44482304630064085,0.5342923715935569,0.27511693529286085,0.577031192945751,poly,32.0,0.0625,2
0.328624658228468,0.48374024921487185,0.2883926536422389,0.5680725656031342,poly,256.0,0.0009765625,4
0.4993603132428036,0.5505014689494478,0.2658100205516947,0.5809894419827164,sigmoid,0.0625,0.0009765625,3
0.46404760246139876,0.508256508965657,0.25727309855308617,0.5647250129117363,rbf,0.0078125,32.0,5
0.4333000580609763,0.5018741768817749,0.26713826582210237,0.4885730722037455,sigmoid,32.0,0.5,3
0.43264943774467624,0.522540776010536,0.2586259021199061,0.6922798302230029,rbf,0.0078125,0.0078125,4
0.42673769980263093,0.49994934657076284,0.2715649370230312,0.4900364982713077,sigmoid,4.0,0.5,4
0.49489496853463977,0.5265930503495087,0.2565285676883071,0.4916583398303217,poly,0.0078125,4.0,5
0.5264722182169028,0.542295613413028,0.24495288711886373,0.5970150861714482,linear,256.0,0.0009765625,2
0.31824383024098124,0.48161280518691113,0.29854277180827904,0.5352308240155007,poly,32.0,0.0078125,5
0.4934843293794896,0.5347989058859285,0.24606164975953024,0.634776260991424,linear,0.5,0.5,5
0.39914719895916795,0.5329753824333907,0.2494133842736686,0.5073910027402488,rbf,4.0,256.0,2
0.5184539054545773,0.5462465808935265,0.25483254492732665,0.49597435498886466,linear,32.0,4.0,4
0.4100027000530522,0.5077499746732854,0.3035452478557244,0.629548159131805,rbf,0.0009765625,0.0625,5
0.32154770340966327,0.48201803262080845,0.24962519804811034,0.5183977851026524,poly,0.5,0.0009765625,4
0.3195891159175984,0.4815114983284368,0.2496422129146641,0.522265795905746,poly,4.0,0.0009765625,4
0.3380638049903679,0.487285989261473,0.2819095223869024,0.6081565782418328,poly,0.0078125,0.0625,3
0.44528003911694564,0.5265930503495087,0.25421938335305727,0.5525587442884071,linear,4.0,0.0625,5
0.5145977955424991,0.5624556782494174,0.25550923428415595,0.6704317331004287,linear,0.0009765625,0.0625,4
0.4546066745907365,0.5353054401783001,0.26513711414839675,0.5859116508271736,poly,0.0009765625,0.0078125,2
0.5583898159691255,0.5806909127747949,0.25009022052339874,0.490720141815275,linear,32.0,0.5,2
0.4903196836469869,0.5288218012359437,0.25055139171131746,0.5056271732014856,poly,0.0078125,32.0,5
0.416789897686167,0.48434809036571774,0.24977811993360965,0.5136840966883451,poly,0.0625,4.0,5
0.4950493350123047,0.5302400972545841,0.2603225469054721,0.454205648596815,poly,4.0,256.0,3
0.4208246102898411,0.4952892310809442,0.2752381352521013,0.47881352656528076,sigmoid,4.0,0.5,2
0.3208618597315315,0.4809036571775909,0.2496959857632428,0.5205550525186933,poly,0.0078125,0.0009765625,4
0.3390138067684365,0.4892108195724851,0.2751436022793677,0.5540599598009126,linear,4.0,4.0,3
0.4549872255690774,0.5393577145172728,0.24956625011888606,0.5468848585630306,poly,0.0009765625,0.0009765625,2
0.3219680315088569,0.4829297943470773,0.2496554226005777,0.5205778742183054,poly,0.0009765625,0.0009765625,4
0.34868046597458263,0.4840441697902948,0.2771884094817826,0.5478376953619727,linear,4.0,0.0078125,4
0.34484643762332756,0.4098875493870935,0.2500235658322928,0.528913016839536,sigmoid,0.0078125,4.0,3
0.3112361327873965,0.4797892817343734,0.24969708120144565,0.4855922087128726,sigmoid,0.0078125,256.0,5
0.5114784604999414,0.5634687468341607,0.27193712881891247,0.7153150874872939,sigmoid,0.0078125,0.0009765625,2
0.4216621255276535,0.49498531050552125,0.2880676887822779,0.5266989213354518,sigmoid,0.0625,0.5,5
0.31297959526064884,0.48049842974369367,0.24968262785724268,0.49453741031688847,sigmoid,256.0,32.0,2
0.54837906623437,0.5855536419815621,0.27060930660171595,0.6549113942372535,linear,0.0009765625,0.5,4
0.484539538110456,0.547057035761321,0.27308495166785957,0.629583049604095,linear,0.0078125,0.0078125,3
0.42476801307084244,0.49913889170296827,0.26352370400372777,0.48039036208785246,sigmoid,0.0078125,0.5,3
0.4211142609080566,0.5125113970215783,0.27020470254493856,0.5537630721050572,rbf,0.5,0.0078125,2
