iter	Logloss
0	0.6680689652
1	0.6452738906
2	0.624208991
3	0.6074460125
4	0.5935507164
5	0.5777926376
6	0.5647838354
7	0.5519138202
8	0.5405961943
9	0.5312352799
10	0.5205983095
11	0.5118565667
12	0.5006952373
13	0.4934737252
14	0.4842301093
15	0.4769901365
16	0.472012825
17	0.4653812227
18	0.4573305946
19	0.4510253371
20	0.445103647
21	0.4343188941
22	0.4247285743
23	0.4209293576
24	0.4161080329
25	0.4105864539
26	0.407424236
27	0.4025403033
28	0.3991579314
29	0.3929294475
30	0.3898386592
31	0.3853747124
32	0.3826212571
33	0.3791537821
34	0.3740422489
35	0.3711405437
36	0.3687551378
37	0.3663419559
38	0.3641297556
39	0.3607565856
40	0.3544295537
41	0.3492651418
42	0.3441822007
43	0.3421617275
44	0.3390221461
45	0.3367075033
46	0.3319913818
47	0.3311827748
48	0.3271771611
49	0.3227495654
50	0.3192411259
51	0.3169767075
52	0.3152754339
53	0.312424959
54	0.3088346139
55	0.3049537075
56	0.3025176337
57	0.2975506312
58	0.2961212746
59	0.2937709188
60	0.29140587
61	0.2883066754
62	0.2875606569
63	0.2843390028
64	0.2818453353
65	0.2806838067
66	0.2770784778
67	0.27491217
68	0.2723685817
69	0.2704028255
70	0.2698652586
71	0.267568699
72	0.2667661324
73	0.2650280336
74	0.2644980986
75	0.2632109976
76	0.2614853763
77	0.2606905792
78	0.2583924303
79	0.2549545648
