iter	Passed	Remaining
0	1	1752
1	3	1758
2	5	1764
3	7	1764
4	8	1763
5	10	1760
6	12	1790
7	14	1777
8	16	1774
9	17	1773
10	19	1775
11	21	1778
12	23	1775
13	25	1776
14	27	1779
15	29	1793
16	30	1789
17	32	1782
18	34	1774
19	36	1768
20	37	1769
21	39	1770
22	41	1767
23	43	1761
24	45	1764
25	47	1772
26	49	1772
27	50	1768
28	52	1772
29	54	1766
30	56	1761
31	58	1755
32	59	1756
33	61	1755
34	63	1753
35	65	1760
36	67	1760
37	69	1763
38	71	1763
39	73	1761
40	75	1761
41	77	1760
42	79	1759
43	80	1756
44	82	1752
45	84	1751
46	86	1745
47	88	1750
48	89	1745
49	91	1739
50	93	1733
51	94	1731
52	96	1728
53	98	1726
54	100	1722
55	102	1719
56	104	1721
57	105	1718
58	107	1716
59	109	1713
60	111	1709
61	112	1706
62	114	1702
63	116	1697
64	117	1694
65	119	1694
66	121	1690
67	123	1688
68	124	1684
69	126	1683
70	128	1678
71	130	1677
72	131	1675
73	133	1670
74	135	1668
75	137	1668
76	138	1664
77	140	1660
78	142	1656
79	143	1653
80	145	1652
81	147	1650
82	149	1649
83	151	1648
84	153	1647
85	154	1647
86	156	1645
87	158	1646
88	160	1645
89	162	1644
90	164	1642
91	166	1642
92	168	1642
93	170	1640
94	172	1639
95	173	1638
96	175	1636
97	177	1635
98	179	1633
99	181	1632
100	183	1631
101	185	1629
102	187	1629
103	188	1626
104	190	1624
105	192	1621
106	193	1619
107	195	1617
108	197	1614
109	199	1611
110	200	1608
111	202	1607
112	204	1606
113	206	1605
114	208	1602
115	210	1601
116	212	1600
117	213	1598
118	215	1595
119	217	1593
120	220	1598
121	221	1596
122	223	1593
123	225	1592
124	227	1589
125	228	1587
126	230	1584
127	232	1583
128	234	1581
129	236	1579
130	238	1579
131	240	1579
132	241	1576
133	243	1574
134	245	1573
135	247	1571
136	249	1569
137	251	1568
138	253	1567
139	254	1566
140	256	1565
141	259	1565
142	260	1563
143	262	1561
144	264	1559
145	266	1556
146	268	1555
147	269	1554
148	271	1551
149	273	1549
150	275	1547
151	277	1547
152	279	1545
153	280	1543
154	282	1542
155	284	1540
156	286	1538
157	288	1536
158	290	1534
159	291	1532
160	293	1530
161	295	1528
162	297	1525
163	298	1522
164	300	1520
165	302	1518
166	303	1515
167	305	1513
168	307	1511
169	308	1508
170	310	1505
171	312	1503
172	314	1501
173	315	1499
174	317	1497
175	319	1495
176	321	1494
177	323	1492
178	325	1491
179	326	1489
180	328	1487
181	330	1486
182	332	1484
183	334	1483
184	336	1481
185	338	1479
186	340	1478
187	342	1478
188	344	1476
189	345	1473
190	347	1472
191	349	1471
192	351	1469
193	353	1468
194	355	1467
195	357	1464
196	359	1463
197	360	1461
198	362	1459
199	364	1457
200	366	1456
201	368	1454
202	369	1452
203	371	1450
204	373	1447
205	375	1445
206	376	1443
207	378	1441
208	380	1440
209	382	1438
210	384	1436
211	385	1434
212	387	1432
213	389	1430
214	391	1429
215	393	1427
216	395	1425
217	397	1424
218	398	1422
219	400	1420
220	402	1419
221	404	1418
222	406	1416
223	408	1414
224	410	1412
225	412	1411
226	413	1409
227	416	1409
228	418	1407
229	420	1406
230	422	1405
231	424	1404
232	426	1404
233	428	1402
234	430	1402
235	432	1400
236	434	1399
237	436	1398
238	439	1398
239	441	1397
240	443	1397
241	445	1395
242	447	1393
243	449	1392
244	451	1390
245	453	1389
246	455	1388
247	457	1386
248	458	1383
249	460	1381
250	462	1379
251	464	1377
252	465	1375
253	467	1373
254	469	1371
255	471	1369
256	473	1368
257	475	1366
258	476	1363
259	478	1362
260	480	1360
261	482	1358
262	484	1356
263	485	1354
264	487	1352
265	489	1350
266	491	1348
267	493	1346
268	494	1344
269	496	1342
270	498	1340
271	500	1338
272	501	1335
273	503	1333
274	505	1331
275	506	1329
276	508	1328
277	510	1326
278	512	1324
279	514	1322
280	516	1320
281	518	1319
282	519	1317
283	521	1314
284	523	1312
285	525	1310
286	526	1308
287	528	1307
288	530	1305
289	532	1302
290	533	1300
291	535	1298
292	537	1296
293	539	1294
294	540	1292
295	542	1291
296	545	1290
297	546	1288
298	548	1286
299	550	1284
300	552	1283
301	554	1281
302	556	1279
303	558	1278
304	560	1277
305	562	1276
306	564	1274
307	566	1272
308	568	1270
309	570	1269
310	572	1267
311	573	1265
312	575	1263
313	577	1261
314	579	1260
315	581	1258
316	583	1256
317	584	1254
318	586	1252
319	588	1250
320	590	1248
321	592	1247
322	594	1245
323	596	1243
324	597	1241
325	599	1240
326	601	1238
327	603	1236
328	605	1234
329	607	1233
330	609	1231
331	610	1229
332	612	1227
333	614	1226
334	616	1224
335	618	1222
336	620	1220
337	622	1218
338	624	1216
339	625	1215
340	628	1213
341	629	1211
342	631	1209
343	633	1208
344	635	1205
345	636	1203
346	638	1202
347	640	1200
348	642	1198
349	644	1197
350	646	1195
351	648	1193
352	650	1191
353	651	1189
354	653	1188
355	655	1186
356	657	1184
357	659	1182
358	661	1181
359	663	1179
360	665	1177
361	667	1175
362	668	1173
363	670	1171
364	672	1169
365	674	1168
366	676	1166
367	678	1164
368	679	1162
369	681	1160
370	683	1158
371	685	1156
372	687	1154
373	688	1153
374	690	1151
375	692	1149
376	694	1147
377	696	1145
378	698	1143
379	699	1141
380	701	1140
381	703	1138
382	705	1136
383	707	1134
384	709	1132
385	711	1131
386	713	1129
387	714	1127
388	716	1125
389	718	1123
390	720	1122
391	722	1120
392	724	1118
393	726	1116
394	728	1115
395	730	1113
396	731	1111
397	733	1109
398	735	1107
399	737	1105
400	738	1103
401	741	1102
402	742	1100
403	744	1098
404	746	1096
405	748	1094
406	750	1093
407	752	1091
408	753	1089
409	755	1087
410	757	1085
411	759	1083
412	761	1082
413	763	1080
414	765	1078
415	767	1076
416	768	1074
417	770	1072
418	772	1070
419	774	1068
420	776	1067
421	778	1065
422	779	1063
423	781	1061
424	783	1059
425	785	1058
426	787	1056
427	788	1054
428	790	1052
429	792	1050
430	794	1048
431	796	1046
432	797	1044
433	799	1042
434	801	1041
435	803	1039
436	805	1037
437	807	1035
438	809	1033
439	811	1032
440	812	1030
441	814	1028
442	816	1026
443	818	1025
444	820	1023
445	822	1021
446	823	1019
447	826	1017
448	827	1016
449	829	1014
450	831	1012
451	833	1010
452	835	1008
453	837	1006
454	838	1004
455	840	1003
456	842	1001
457	844	999
458	846	997
459	848	995
460	850	994
461	852	993
462	854	991
463	856	989
464	858	987
465	860	985
466	862	983
467	863	981
468	865	979
469	867	978
470	869	976
471	871	974
472	872	972
473	874	970
474	876	969
475	878	967
476	880	965
477	882	963
478	883	961
479	885	959
480	888	958
481	890	956
482	891	954
483	893	952
484	895	951
485	897	949
486	899	947
487	901	946
488	903	944
489	905	942
490	907	940
491	909	939
492	911	937
493	913	935
494	915	933
495	916	931
496	918	929
497	921	928
498	922	926
499	924	924
500	926	922
501	928	921
502	930	919
503	932	917
504	934	915
505	935	913
506	937	911
507	939	909
508	940	907
509	942	905
510	944	903
511	946	901
512	948	900
513	949	898
514	951	896
515	953	894
516	955	892
517	957	890
518	958	888
519	960	886
520	962	884
521	963	882
522	965	880
523	967	879
524	969	877
525	971	875
526	973	873
527	974	871
528	976	869
529	978	867
530	980	866
531	982	864
532	984	862
533	985	860
534	987	858
535	989	856
536	991	854
537	993	853
538	995	851
539	997	849
540	999	847
541	1002	846
542	1003	844
543	1005	842
544	1007	841
545	1009	839
546	1010	837
547	1012	835
548	1014	833
549	1016	831
550	1018	829
551	1020	827
552	1022	826
553	1024	824
554	1026	823
555	1028	821
556	1029	819
557	1032	817
558	1034	815
559	1035	813
560	1037	812
561	1039	810
562	1041	808
563	1042	806
564	1044	804
565	1046	802
566	1048	800
567	1050	798
568	1052	796
569	1053	795
570	1055	793
571	1058	791
572	1060	790
573	1061	788
574	1063	786
575	1065	784
576	1067	782
577	1069	780
578	1071	779
579	1073	777
580	1074	775
581	1076	773
582	1079	771
583	1080	769
584	1082	768
585	1084	766
586	1086	764
587	1088	762
588	1090	760
589	1091	758
590	1094	757
591	1096	755
592	1098	753
593	1100	752
594	1102	750
595	1103	748
596	1105	746
597	1107	744
598	1109	742
599	1111	741
600	1113	739
601	1115	737
602	1117	735
603	1119	733
604	1121	731
605	1123	730
606	1124	728
607	1126	726
608	1128	724
609	1130	722
610	1131	720
611	1133	718
612	1135	717
613	1137	715
614	1139	713
615	1141	711
616	1143	709
617	1145	707
618	1146	705
619	1148	704
620	1150	702
621	1152	700
622	1154	698
623	1155	696
624	1157	694
625	1159	692
626	1161	690
627	1163	688
628	1165	687
629	1167	685
630	1168	683
631	1170	681
632	1172	679
633	1174	677
634	1176	676
635	1178	674
636	1180	672
637	1181	670
638	1184	669
639	1185	667
640	1187	665
641	1189	663
642	1191	661
643	1193	659
644	1195	658
645	1197	656
646	1200	654
647	1202	653
648	1204	651
649	1206	649
650	1208	647
651	1210	645
652	1211	643
653	1213	642
654	1215	640
655	1217	638
656	1219	636
657	1221	634
658	1223	632
659	1224	630
660	1226	629
661	1228	627
662	1229	625
663	1231	623
664	1233	621
665	1235	619
666	1237	617
667	1239	615
668	1241	614
669	1242	612
670	1244	610
671	1246	608
672	1248	606
673	1250	604
674	1252	603
675	1254	601
676	1255	599
677	1257	597
678	1259	595
679	1261	593
680	1262	591
681	1264	589
682	1266	587
683	1268	586
684	1270	584
685	1272	582
686	1273	580
687	1276	578
688	1277	576
689	1279	574
690	1281	573
691	1283	571
692	1285	569
693	1286	567
694	1288	565
695	1290	563
696	1292	561
697	1294	559
698	1296	558
699	1297	556
700	1299	554
701	1301	552
702	1303	550
703	1305	548
704	1306	546
705	1308	544
706	1310	543
707	1312	541
708	1314	539
709	1316	537
710	1317	535
711	1319	533
712	1321	531
713	1323	530
714	1324	528
715	1326	526
716	1328	524
717	1330	522
718	1332	520
719	1333	518
720	1335	516
721	1337	515
722	1339	513
723	1341	511
724	1342	509
725	1344	507
726	1346	505
727	1348	503
728	1350	501
729	1351	499
730	1353	498
731	1355	496
732	1357	494
733	1359	492
734	1361	490
735	1362	488
736	1364	486
737	1366	485
738	1368	483
739	1369	481
740	1371	479
741	1373	477
742	1375	475
743	1377	473
744	1379	472
745	1381	470
746	1383	468
747	1384	466
748	1386	464
749	1388	462
750	1390	461
751	1392	459
752	1394	457
753	1396	455
754	1398	453
755	1399	451
756	1401	449
757	1403	448
758	1405	446
759	1407	444
760	1408	442
761	1410	440
762	1412	438
763	1414	436
764	1415	434
765	1417	433
766	1419	431
767	1421	429
768	1423	427
769	1425	425
770	1427	423
771	1428	422
772	1430	420
773	1432	418
774	1434	416
775	1436	414
776	1438	412
777	1440	410
778	1441	409
779	1443	407
780	1445	405
781	1447	403
782	1449	401
783	1451	399
784	1453	398
785	1454	396
786	1456	394
787	1458	392
788	1460	390
789	1462	388
